true_direction,pred_rag,pred_no_rag,conviction_rag,conviction_no_rag,conviction_delta,cosine_sim_max,correct_rag,correct_no_rag
NEUTRAL,NEUTRAL,CE,0.3,0.374,-0.07400000000000001,0.8996635517875641,True,False
PE,NEUTRAL,CE,0.3,0.3727,-0.07269999999999999,0.9126437991436336,False,False
CE,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.9125281153407697,False,False
NEUTRAL,NEUTRAL,CE,0.3,0.3722,-0.07219999999999999,0.8943319540651077,True,False
NEUTRAL,NEUTRAL,CE,0.3,0.3662,-0.06620000000000004,0.9227406349991845,True,False
NEUTRAL,NEUTRAL,CE,0.3,0.3671,-0.06709999999999999,0.9576531004029268,True,False
CE,NEUTRAL,CE,0.3,0.3662,-0.06620000000000004,0.9707153177481006,False,True
PE,NEUTRAL,CE,0.3,0.3743,-0.07430000000000003,0.9591953422283129,False,False
NEUTRAL,NEUTRAL,CE,0.3,0.3644,-0.06440000000000001,0.9692312895879773,True,False
NEUTRAL,NEUTRAL,CE,0.3,0.368,-0.068,0.9264630906831687,True,False
NEUTRAL,NEUTRAL,CE,0.3,0.3684,-0.06840000000000002,0.878308212071258,True,False
PE,NEUTRAL,CE,0.3,0.3724,-0.07240000000000002,0.7266737720337395,False,False
NEUTRAL,NEUTRAL,CE,0.3,0.3733,-0.07330000000000003,0.9089090307835961,True,False
NEUTRAL,NEUTRAL,CE,0.3,0.3539,-0.0539,0.7784311761157144,True,False
CE,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.861158939045292,False,False
NEUTRAL,NEUTRAL,CE,0.3,0.3495,-0.04949999999999999,0.6847453377426458,True,False
PE,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.805746746080343,False,False
PE,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.8397848926388646,False,False
NEUTRAL,NEUTRAL,CE,0.3,0.3539,-0.0539,0.4975416252250861,True,False
CE,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.5137524821628747,False,False
NEUTRAL,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.8860430972647731,True,True
NEUTRAL,NEUTRAL,CE,0.3,0.354,-0.05399999999999999,0.6012736562567126,True,False
NEUTRAL,NEUTRAL,CE,0.3,0.3523,-0.05230000000000001,0.7146806644087341,True,False
NEUTRAL,NEUTRAL,CE,0.3,0.3636,-0.06359999999999999,0.8159929559331522,True,False
CE,NEUTRAL,CE,0.3,0.3567,-0.05670000000000003,0.45081514832786396,False,True
PE,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.8030343760124379,False,False
NEUTRAL,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.8981484795743196,True,True
NEUTRAL,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.614112329215568,True,True
PE,NEUTRAL,CE,0.3,0.3578,-0.05780000000000002,0.786191017246697,False,False
NEUTRAL,NEUTRAL,CE,0.3,0.3585,-0.058499999999999996,0.875465507289961,True,False
PE,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.8886412947973854,False,False
CE,NEUTRAL,CE,0.3,0.3654,-0.06540000000000001,0.9029284835274235,False,True
CE,NEUTRAL,CE,0.3,0.3648,-0.06480000000000002,0.46969222523428994,False,True
CE,NEUTRAL,CE,0.3,0.3645,-0.0645,0.39000247963053475,False,True
NEUTRAL,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.7245530505624224,True,True
NEUTRAL,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.5292569276164297,True,True
PE,NEUTRAL,CE,0.3,0.361,-0.061,0.7720845478915068,False,False
CE,NEUTRAL,CE,0.3,0.3582,-0.05820000000000003,0.5948313159519066,False,True
NEUTRAL,NEUTRAL,CE,0.3,0.3595,-0.0595,0.5166337901251385,True,False
NEUTRAL,NEUTRAL,CE,0.3,0.3568,-0.05680000000000002,0.5959624977409108,True,False
CE,NEUTRAL,CE,0.3,0.3583,-0.05830000000000002,0.7344541436933746,False,True
